Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.02E+12,459681,451736,-1.090343,53.958069,12,3,2,1,42461,2,0.013888889,189,E06000014,3,1036,6,30,3,4,6,0,0,1,1,1,1,0,0,1,2,E01033068
2.02E+12,460421,451965,-1.07902,53.960042,12,3,1,1,42522,4,0.034722222,189,E06000014,6,7210,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01033070
2.02E+12,460780,451346,-1.073672,53.954436,12,3,2,1,42552,5,0.006944444,189,E06000014,6,7210,6,30,3,4,6,7210,0,0,4,1,2,0,0,1,1,E01033067
2.02E+12,459511,454463,-1.092401,53.982598,12,3,1,1,42552,5,0.034722222,189,E06000014,5,419,6,30,3,2,6,340,0,0,4,1,1,0,0,1,1,E01013431
2.02E+12,461840,451309,-1.057527,53.953978,12,3,2,1,42583,6,0.034722222,189,E06000014,3,1079,6,30,6,2,5,409,0,4,4,1,2,0,0,1,1,E01013400
2.02E+12,454774,447120,-1.167548,53.917355,12,3,2,2,42799,4,0.329861111,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013424
2.02E+12,460889,450392,-1.072201,53.945849,12,3,2,1,42583,6,0.033333333,189,E06000014,3,19,6,30,3,4,6,2,0,0,4,1,1,0,0,1,1,E01013362
2.02E+12,462375,458087,-1.047986,54.014831,12,3,2,1,42583,6,0.027777778,189,E06000014,5,90,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,2,E01013436
2.02E+12,459817,452515,-1.088117,53.965055,12,3,2,1,42675,2,0.033333333,189,E06000014,3,19,6,30,3,4,6,3110,0,0,4,2,2,0,0,1,1,E01013344
2.02E+12,464787,454735,-1.011892,53.984408,12,3,2,2,13/01/2016,4,0.034722222,189,E06000014,6,1110,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,E01013437
2.02E+12,455878,451519,-1.14834,53.956544,12,3,4,1,14/01/2016,5,0.023611111,189,E06000014,3,1237,6,60,1,4,4,1224,0,0,6,2,2,0,0,2,1,E01013422
2.02E+12,460949,451039,-1.071158,53.951657,12,3,1,1,14/01/2016,5,0.033333333,189,E06000014,3,19,6,30,3,4,6,7910,0,0,4,2,2,0,0,1,1,E01013364
2.02E+12,459887,452454,-1.087062,53.964499,12,3,1,1,14/01/2016,5,0.017361111,189,E06000014,3,19,6,30,8,4,6,2,0,0,1,1,2,0,0,1,1,E01013366
2.02E+12,457460,448969,-1.124712,53.933452,12,3,2,1,15/01/2016,6,0.017361111,189,E06000014,5,286,6,30,3,4,6,5610,0,0,4,1,4,0,0,1,1,E01013355
2.02E+12,461843,453633,-1.05701,53.974865,12,3,1,1,15/01/2016,6,0.013888889,189,E06000014,3,1036,6,30,3,2,6,3610,0,4,1,1,1,0,0,2,1,E01013385
2.02E+12,467763,453964,-0.966682,53.977097,12,3,2,1,15/01/2016,6,0.027777778,189,E06000014,3,166,6,60,3,4,6,910,0,0,6,1,2,0,0,2,1,E01013351
2.02E+12,459894,451860,-1.087072,53.959159,12,3,2,2,16/01/2016,7,0.020833333,189,E06000014,3,1036,6,30,6,2,4,1227,0,4,4,1,1,0,0,1,2,E01033068
2.02E+12,460736,451069,-1.074397,53.951952,12,3,2,1,16/01/2016,7,0.0375,189,E06000014,3,19,6,30,3,4,3,19,0,0,4,1,1,0,0,1,2,E01013364
